experiment,model,campaign,feed,network,variant,runs,sentiment_js_distance_mean,sentiment_js_distance_median,sentiment_js_distance_ci_low,sentiment_js_distance_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,visible_action_rate_mean,visible_action_rate_median,visible_action_rate_ci_low,visible_action_rate_ci_high,like_share_mean,like_share_median,like_share_ci_low,like_share_ci_high,share_share_mean,share_share_median,share_share_ci_low,share_share_ci_high,comment_share_mean,comment_share_median,comment_share_ci_low,comment_share_ci_high,reply_share_mean,reply_share_median,reply_share_ci_low,reply_share_ci_high,schema_valid_share_mean,schema_valid_share_median,schema_valid_share_ci_low,schema_valid_share_ci_high,narrative_count_mean,narrative_count_median,narrative_count_ci_low,narrative_count_ci_high,mean_rationale_chars_mean,mean_rationale_chars_median,mean_rationale_chars_ci_low,mean_rationale_chars_ci_high,latency_seconds_mean,latency_seconds_median,latency_seconds_ci_low,latency_seconds_ci_high,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_ci_low,prompt_tokens_ci_high,completion_tokens_mean,completion_tokens_median,completion_tokens_ci_low,completion_tokens_ci_high,cost_usd_mean,cost_usd_median,cost_usd_ci_low,cost_usd_ci_high
exp4_social_mechanism,qwen/qwen3-8b,MK Buffet,chronological,matched_random,baseline,10,0.31126071200616856,0.2828886156304462,0.27118660469386396,0.4047062408809353,0.0,0.0,0.0,0.0,0.675,0.625,0.528125,0.846875,0.325,0.375,0.153125,0.47187500000000004,0.7625,0.75,0.653125,0.875,0.15,0.125,0.125,0.25,0.2,0.25,0.125,0.25,0.3,0.25,0.25,0.375,0.1125,0.125,0.0,0.22187500000000004,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,39.1,37.75,32.8375,47.1875,21.907974516700413,22.91115718800029,18.30877589869842,23.51279891615104,929.1,929.0,929.0,929.775,1184.5,1183.5,1063.65,1282.725,0.0006476522,0.0006471854999999999,0.0005926537500000001,0.000692332875
exp4_social_mechanism,qwen/qwen3-8b,MK Buffet,chronological,post_affiliation_proxy,baseline,10,0.2925300298499806,0.2828886156304462,0.26778924668001747,0.3351591549627993,0.0,0.0,0.0,0.0,0.6125,0.625,0.5,0.75,0.3875,0.375,0.25,0.5,0.7375,0.75,0.625,0.846875,0.15,0.125,0.125,0.25,0.2125,0.25,0.125,0.25,0.2875,0.25,0.153125,0.47187500000000004,0.0875,0.125,0.0,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,41.0,41.0625,33.05625,51.45625,20.843489920900176,20.810955249999097,18.060408084375286,22.784563293677095,943.1,943.0,943.0,943.7750000000001,1183.7,1223.0,1013.0,1287.775,0.0006489261999999999,0.0006668545,0.000571246,0.000696268625
exp4_social_mechanism,qwen/qwen3-8b,MK Buffet,interest,matched_random,baseline,10,0.3037968313633875,0.2828886156304462,0.2828886156304462,0.3351591549627993,0.0,0.0,0.0,0.0,0.675,0.625,0.625,0.75,0.325,0.375,0.25,0.375,0.7625,0.75,0.653125,0.875,0.15,0.125,0.125,0.25,0.2,0.25,0.125,0.25,0.2875,0.3125,0.125,0.375,0.125,0.125,0.028125,0.22187500000000004,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,37.85,36.5,32.50625,50.046875,20.78917375830024,20.238840250000067,16.692148468151117,25.77982081425098,930.1,930.0,930.0,930.775,1195.8,1185.5,1045.8,1370.575,0.0006529107,0.000648271,0.000584649,0.0007324216249999999
exp4_social_mechanism,qwen/qwen3-8b,MK Buffet,interest,post_affiliation_proxy,baseline,10,0.30751394840157986,0.3090238852966227,0.27118660469386396,0.3351591549627993,0.0,0.0,0.0,0.0,0.675,0.6875,0.528125,0.75,0.325,0.3125,0.25,0.47187500000000004,0.75,0.75,0.625,0.875,0.15,0.125,0.125,0.25,0.225,0.25,0.125,0.25,0.3,0.25,0.153125,0.47187500000000004,0.075,0.0625,0.0,0.22187500000000004,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,41.0,43.375,29.48125,49.690625,20.97242767930002,20.980115312499038,17.760200195723883,25.0240936574015,944.1,944.0,944.0,944.775,1177.5,1189.5,1027.275,1329.5,0.0006462222,0.0006516705,0.0005778581249999999,0.0007153705000000001
exp4_social_mechanism,qwen/qwen3-8b,MK Buffet,popularity,matched_random,baseline,10,0.2978739431793871,0.2828886156304462,0.27118660469386396,0.3351591549627993,0.0,0.0,0.0,0.0,0.625,0.625,0.403125,0.75,0.375,0.375,0.25,0.596875,0.775,0.75,0.75,0.875,0.1625,0.125,0.125,0.25,0.225,0.25,0.125,0.25,0.2625,0.25,0.125,0.47187500000000004,0.125,0.125,0.028125,0.22187500000000004,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,37.025,37.8125,29.41875,44.95937500000001,22.14726002520074,22.767150313000457,17.850560159525322,24.12039400015037,930.1,930.0,930.0,930.775,1186.0,1238.0,1032.6750000000002,1251.775,0.0006484517,0.0006720999999999999,0.000578677125,0.0006783676249999999
exp4_social_mechanism,qwen/qwen3-8b,MK Buffet,popularity,post_affiliation_proxy,baseline,10,0.31355510497909306,0.3351591549627993,0.27118660469386396,0.3351591549627993,0.0,0.0,0.0,0.0,0.6625,0.75,0.403125,0.75,0.3375,0.25,0.25,0.596875,0.7625,0.75,0.653125,0.875,0.175,0.125,0.125,0.25,0.2,0.25,0.125,0.25,0.2625,0.25,0.153125,0.375,0.125,0.125,0.028125,0.22187500000000004,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,38.975,38.8125,30.128125,47.646874999999994,21.16692432510026,20.919524124999953,17.45011722812551,23.77281113504978,944.1,944.0,944.0,944.775,1186.6,1198.0,1067.275,1289.1,0.0006503626999999999,0.000655538,0.0005960581249999999,0.0006969885
exp4_social_mechanism,qwen/qwen3-8b,Parameter Gelato,chronological,matched_random,baseline,10,0.4488568507232264,0.4686374262617507,0.3153176539326922,0.4902129837660302,0.0125,0.0,0.0,0.09687500000000004,0.6375,0.625,0.5,0.75,0.35,0.375,0.25,0.47187500000000004,0.7125,0.75,0.625,0.846875,0.125,0.125,0.028125,0.22187500000000004,0.2,0.25,0.125,0.25,0.3,0.25,0.25,0.375,0.0875,0.125,0.0,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,39.8125,40.5625,31.571875000000002,47.878125,21.077521070799776,21.280153020998114,18.12732284375188,24.788428614324133,966.1,966.0,966.0,966.775,1201.3,1192.0,1122.575,1305.425,0.0006596251999999999,0.0006554404999999999,0.0006237936250000001,0.0007069903749999999
exp4_social_mechanism,qwen/qwen3-8b,Parameter Gelato,chronological,post_affiliation_proxy,baseline,10,0.4641669782104893,0.4635052249287068,0.4583730235956629,0.47376601419556524,0.0,0.0,0.0,0.0,0.7125,0.75,0.625,0.846875,0.2875,0.25,0.153125,0.375,0.7375,0.75,0.625,0.875,0.15,0.125,0.125,0.25,0.1875,0.1875,0.125,0.25,0.3125,0.25,0.25,0.47187500000000004,0.0875,0.125,0.0,0.22187500000000004,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,35.8125,35.625,28.646875,45.17187500000001,21.529092316700552,22.11825975049942,18.02088296990114,24.156983265099736,980.1,980.0,980.0,980.775,1181.7,1190.0,1083.875,1259.1750000000002,0.0006523452000000001,0.0006561100000000001,0.0006078231250000001,0.0006876753
exp4_social_mechanism,qwen/qwen3-8b,Parameter Gelato,interest,matched_random,baseline,10,0.46834204836570237,0.4686374262617507,0.4583730235956629,0.4902129837660302,0.0,0.0,0.0,0.0,0.65,0.625,0.528125,0.75,0.35,0.375,0.25,0.47187500000000004,0.675,0.625,0.625,0.75,0.125,0.125,0.125,0.125,0.2125,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.0875,0.125,0.0,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,36.4125,35.9375,29.26875,45.303125,21.469960912500756,21.828236354002,17.420815999926255,25.150772388950738,967.1,967.0,967.0000000000001,967.7750000000001,1173.7,1186.5,1054.025,1278.675,0.0006471841999999999,0.0006529964999999999,0.000592720375,0.00069496245
exp4_social_mechanism,qwen/qwen3-8b,Parameter Gelato,interest,post_affiliation_proxy,baseline,10,0.46900380164748484,0.4686374262617507,0.4583730235956629,0.4917019286500408,0.0,0.0,0.0,0.0,0.675,0.625,0.528125,0.846875,0.325,0.375,0.153125,0.47187500000000004,0.7375,0.75,0.625,0.846875,0.15,0.125,0.028125,0.25,0.2,0.25,0.125,0.25,0.3,0.25,0.153125,0.5687500000000001,0.0875,0.125,0.0,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,41.7125,39.9375,34.737500000000004,51.315625000000004,23.239089504400546,23.233020333500463,19.16128090580087,29.58904454200001,981.1,981.0,981.0,981.775,1251.0,1235.0,1050.9,1434.3000000000002,0.0006839937,0.0006767020000000001,0.0005929365,0.0007674741749999999
exp4_social_mechanism,qwen/qwen3-8b,Parameter Gelato,popularity,matched_random,baseline,10,0.4645316651953156,0.4686374262617507,0.4583730235956629,0.4686374262617507,0.0,0.0,0.0,0.0,0.675,0.625,0.625,0.75,0.325,0.375,0.25,0.375,0.725,0.75,0.625,0.75,0.1625,0.125,0.125,0.25,0.2125,0.25,0.125,0.25,0.2375,0.25,0.125,0.34687500000000004,0.1125,0.125,0.028125,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,36.7125,36.625,29.434375000000003,44.790625000000006,21.462446091699896,21.94861858349941,17.7270167388725,24.153725193673928,967.1,967.0,967.0000000000001,967.7750000000001,1198.1,1229.0,1075.65,1274.7,0.0006582862,0.0006723925,0.00060255975,0.0006931274999999999
exp4_social_mechanism,qwen/qwen3-8b,Parameter Gelato,popularity,post_affiliation_proxy,baseline,10,0.4710566821807024,0.4686374262617507,0.4606825141955327,0.4917019286500408,0.0,0.0,0.0,0.0,0.65,0.625,0.528125,0.846875,0.35,0.375,0.153125,0.47187500000000004,0.725,0.75,0.625,0.846875,0.1375,0.125,0.125,0.22187500000000004,0.2,0.25,0.125,0.25,0.2875,0.25,0.153125,0.47187500000000004,0.1,0.125,0.0,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,39.9875,40.5625,29.968750000000004,51.978125,22.575743191499715,23.07236974999978,19.4891452504512,24.871952871950725,981.1,981.0,981.0,981.775,1222.6,1227.5,1078.125,1319.225,0.0006710717000000001,0.0006732895,0.000605323875,0.0007150243750000001
exp4_social_mechanism,qwen/qwen3-8b,วิ่งแลกแว่น | Top Charoen,chronological,matched_random,baseline,10,0.20017137343284208,0.18870590904780776,0.160068655913224,0.2602264556859559,0.0,0.0,0.0,0.0,0.65,0.625,0.5,0.846875,0.35,0.375,0.153125,0.5,0.7375,0.75,0.625,0.846875,0.1625,0.125,0.125,0.25,0.2125,0.25,0.125,0.25,0.275,0.25,0.153125,0.47187500000000004,0.0875,0.125,0.0,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,42.225,43.8125,31.325000000000003,51.196875,24.399216804099705,23.36863547899884,19.561202257626704,37.47730992042408,954.1,954.0,954.0,954.775,1250.7,1274.0,1156.8,1332.1999999999998,0.0006806981999999999,0.000691288,0.000638052675,0.000717769
exp4_social_mechanism,qwen/qwen3-8b,วิ่งแลกแว่น | Top Charoen,chronological,post_affiliation_proxy,baseline,10,0.17861946594876166,0.18870590904780776,0.12609209138003288,0.2110941531012988,0.0125,0.0,0.0,0.09687500000000004,0.675,0.625,0.625,0.846875,0.3125,0.375,0.153125,0.375,0.7375,0.75,0.625,0.846875,0.125,0.125,0.028125,0.22187500000000004,0.225,0.25,0.125,0.25,0.3375,0.3125,0.25,0.5687500000000001,0.05,0.0,0.0,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,42.5875,43.25,34.665625,48.259375,22.558418983199953,23.263060395998764,18.499133251225157,24.77374233917535,968.1,968.0,968.0,968.7750000000001,1250.9,1262.5,1103.075,1337.1750000000002,0.0006824272000000001,0.0006876935,0.000615155125,0.0007216969500000001
exp4_social_mechanism,qwen/qwen3-8b,วิ่งแลกแว่น | Top Charoen,interest,matched_random,baseline,10,0.18586726410521243,0.18870590904780776,0.160068655913224,0.2110941531012988,0.0,0.0,0.0,0.0,0.675,0.625,0.625,0.846875,0.325,0.375,0.153125,0.375,0.7375,0.75,0.653125,0.75,0.1625,0.125,0.125,0.25,0.2,0.25,0.125,0.25,0.2625,0.25,0.125,0.375,0.1125,0.125,0.028125,0.125,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,39.575,38.75,30.553125,51.0625,26.73326957489953,22.521523333000005,18.082337165700302,59.83539426997351,955.1,955.0,955.0,955.775,1249.2,1235.5,1084.4250000000002,1480.8000000000002,0.0006801327,0.0006738874999999999,0.000605148375,0.0007854989999999998
