campaign,pairs,action_rate_delta_mean,action_rate_delta_median,action_rate_delta_ci_low,action_rate_delta_ci_high,reach_rate_delta_mean,reach_rate_delta_median,reach_rate_delta_ci_low,reach_rate_delta_ci_high,positive_share_delta_mean,positive_share_delta_median,positive_share_delta_ci_low,positive_share_delta_ci_high,neutral_share_delta_mean,neutral_share_delta_median,neutral_share_delta_ci_low,neutral_share_delta_ci_high,negative_share_delta_mean,negative_share_delta_median,negative_share_delta_ci_low,negative_share_delta_ci_high,js_distance_to_calibration_target_delta_mean,js_distance_to_calibration_target_delta_median,js_distance_to_calibration_target_delta_ci_low,js_distance_to_calibration_target_delta_ci_high,sentiment_mean_delta_mean,sentiment_mean_delta_median,sentiment_mean_delta_ci_low,sentiment_mean_delta_ci_high,sentiment_shift_delta_mean,sentiment_shift_delta_median,sentiment_shift_delta_ci_low,sentiment_shift_delta_ci_high,normalized_entropy_delta_mean,normalized_entropy_delta_median,normalized_entropy_delta_ci_low,normalized_entropy_delta_ci_high,polarization_index_delta_mean,polarization_index_delta_median,polarization_index_delta_ci_low,polarization_index_delta_ci_high,cross_sentiment_edge_share_delta_mean,cross_sentiment_edge_share_delta_median,cross_sentiment_edge_share_delta_ci_low,cross_sentiment_edge_share_delta_ci_high,largest_cascade_share_delta_mean,largest_cascade_share_delta_median,largest_cascade_share_delta_ci_low,largest_cascade_share_delta_ci_high,cascade_depth_delta_mean,cascade_depth_delta_median,cascade_depth_delta_ci_low,cascade_depth_delta_ci_high,cascade_breadth_delta_mean,cascade_breadth_delta_median,cascade_breadth_delta_ci_low,cascade_breadth_delta_ci_high,time_to_50pct_delta_mean,time_to_50pct_delta_median,time_to_50pct_delta_ci_low,time_to_50pct_delta_ci_high
KFC Bucket Ware,10,0.02560000000000001,0.017999999999999988,-0.008199999999999952,0.07550000000000003,0.014399999999999991,0.010999999999999982,-0.017750000000000016,0.06920000000000004,0.16691161861913292,0.15955475101173194,0.08071043626639966,0.22876753011435594,-0.14405809827280133,-0.14578263904163855,-0.2071801349296847,-0.057633741150230844,-0.02285352034633158,-0.01957194726406051,-0.044184651577210556,-0.01349957724572726,0.1625052940339446,0.15750762172194485,0.11088670218363392,0.20284378084492832,0.1897651389654645,0.17429022680555817,0.10378713138256843,0.2674437072631203,0.1897651389654645,0.17429022680555817,0.10378713138256843,0.2674437072631203,-0.2693981618372311,-0.27181056834996864,-0.3283273334209508,-0.1882039300553563,-0.05927349412791496,-0.052788486816336806,-0.09125655911798694,-0.031591395823488744,-0.0736109242413503,-0.07391304347826086,-0.10014215177342638,-0.05099437885320545,-0.0181842780607192,-0.019715573089876023,-0.050017964680687796,0.009794027532629531,0.4,1.0,-2.7750000000000004,2.7750000000000004,0.0,0.0,0.0,0.0,-0.1,0.0,-1.7750000000000001,1.0
MK Buffet,10,0.007400000000000006,0.008000000000000007,-0.027100000000000013,0.045750000000000034,-0.00039999999999998923,-0.0040000000000000036,-0.04569999999999995,0.03950000000000002,0.23524331993784378,0.24529269603851378,0.1363033538592443,0.29835674602860557,-0.15655513845103872,-0.15867887032742334,-0.22339328315328996,-0.08782888644147192,-0.07868818148680509,-0.07823146700938394,-0.13078946326599167,-0.0370227184870813,0.1694973001927505,0.16582373455086952,0.1172497971400262,0.22331322819786692,0.3139315014246489,0.3193632316563877,0.17705987604930246,0.42199661692019774,0.3139315014246489,0.3193632316563877,0.17705987604930246,0.42199661692019774,-0.20884748937847006,-0.20830844822945055,-0.29435256166799006,-0.127612003920819,-0.09482951724144283,-0.11700923708243106,-0.14289374497242557,-0.014129113716368363,-0.045516039632330904,-0.05241917502787069,-0.08691666666666664,-0.011012382864792492,-0.0039672418643111745,0.0014696350979630235,-0.05799260063137957,0.024300586565483843,0.2,-0.5,-2.5500000000000003,3.5500000000000007,0.1,0.0,0.0,0.7750000000000004,0.3,0.0,-1.0,1.7750000000000004
Parameter Gelato,10,0.005400000000000005,0.009000000000000008,-0.02264999999999998,0.03640000000000002,0.003399999999999992,0.0020000000000000018,-0.026850000000000023,0.03509999999999998,0.20920700390015384,0.21696124655025095,0.11090175051528092,0.29372028461734345,-0.01410823001420492,-0.0233265119164148,-0.07949711987142155,0.07245688470983104,-0.19509877388594893,-0.18742540784358463,-0.2538636867334346,-0.16156019889459636,0.20424127364238917,0.19121164892332493,0.144152163953049,0.28994788173329955,0.4043057777861028,0.395399093310964,0.29393918855832235,0.5221479200071637,0.4043057777861028,0.3953990933109639,0.29393918855832235,0.5221479200071637,-0.0031137825675316864,-0.023990441538299268,-0.04256923818729523,0.06690012806516218,0.00022846730310288054,-0.011794736724407034,-0.06921108820822933,0.0858359746921653,0.0076307722759950455,0.008017837235228531,-0.020916466265865047,0.03350225534681403,-0.0026997056052643297,-0.0025722942495418483,-0.035125974257547724,0.02653984619666982,-0.6,0.0,-2.7750000000000004,0.7750000000000004,-0.1,0.0,-0.775,0.0,-0.2,0.0,-1.7750000000000001,1.0
วิ่งแลกแว่น | Top Charoen,10,0.021399999999999995,0.016000000000000014,-0.023300000000000022,0.08284999999999998,0.017599999999999987,0.007999999999999952,-0.029950000000000025,0.07910000000000002,0.3247224553137711,0.3182581940146937,0.2623174721428775,0.38309236323681406,-0.2538869510050727,-0.2574028917886423,-0.3050313983891486,-0.21006146833615766,-0.07083550430869834,-0.053020483408702954,-0.1240814834814039,-0.03651080666069643,0.22987007810177093,0.2353100104038227,0.15836856153997797,0.30793110209051183,0.39555795962246937,0.37996656701219966,0.3067422859883402,0.5051455677607388,0.39555795962246937,0.37996656701219966,0.3067422859883403,0.5051455677607388,-0.16838253603067138,-0.15897861222670423,-0.23715899001023424,-0.07465071597645268,-0.06369823034242425,-0.059649052250181855,-0.12216741731445334,-0.016024808782019236,-0.022,-0.01999999999999999,-0.04509999999999999,5.000000000000729e-05,0.00013436404510624582,-0.001576157611675802,-0.030759861734089497,0.020741316399205942,-0.4,0.0,-2.0,1.5500000000000007,0.0,0.0,0.0,0.0,0.1,0.0,-1.0,1.0
ไทยช่วยไทยพลัส,10,0.024999999999999988,0.043999999999999984,-0.09004999999999999,0.10389999999999999,0.01780000000000002,0.03999999999999998,-0.09935,0.1005500000000001,0.18793000041119984,0.17957890356448558,0.13340272138680803,0.2706823480631305,-0.13448660584978314,-0.12596916671752265,-0.1989211637876686,-0.08155365761141509,-0.05344339456141667,-0.04913016837505771,-0.09533812366466513,-0.021716074649781175,0.078176680301984,0.08228464103818497,0.019893984382147033,0.12103201796208993,0.2413733949726165,0.20746010954989283,0.1662582880873087,0.35490143185388767,0.2413733949726165,0.20746010954989283,0.1662582880873087,0.35490143185388767,-0.19901806728852933,-0.19567018066655734,-0.2696371685299269,-0.1541284187060084,-0.08147760687039349,-0.08391790142594258,-0.1349644969341823,-0.028061560064377527,-0.056314277081830635,-0.06133333333333332,-0.0752060196200651,-0.023593507362784476,-0.0020011655996975573,-0.0031736329767639015,-0.021060713788537178,0.03296324412962584,0.3,0.0,-1.7750000000000001,2.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.775,1.0
ALL_CAMPAIGNS,50,0.016960000000000003,0.015000000000000013,-0.03884999999999999,0.08464999999999996,0.01056,0.00799999999999998,-0.04974999999999995,0.08000000000000002,0.22480287963642032,0.22471095851378237,0.10642647728148441,0.36399196703957615,-0.14061900471858016,-0.14686308531509773,-0.27902350066035103,0.03869002041562926,-0.08418387491784012,-0.06017594930203293,-0.21707664444207253,-0.013636458481605933,0.1688581252545678,0.1660345246427931,0.053734077262183974,0.2913924746708763,0.3089867545542604,0.3244980673506166,0.15230205813520473,0.5142122704084754,0.3089867545542604,0.3244980673506166,0.15230205813520473,0.5142122704084754,-0.1697520074204867,-0.1834868343306349,-0.32286303952970746,0.030914910625809634,-0.05981007625581453,-0.06536822312964077,-0.13594400324732342,0.03677482603320044,-0.037962093735903354,-0.04333333333333331,-0.0925050870147256,0.03050256588986221,-0.005343605416977203,-0.0031287418255503407,-0.052354972145858686,0.028417126293757193,-0.02,0.0,-3.0,2.7749999999999986,0.0,0.0,0.0,0.0,0.04,0.0,-1.775,1.0
