campaign,pairs,judge_calls,real_win_share,synthetic_win_share,tie_share,simulated_realism_score,simulated_realism_score_ci_low,simulated_realism_score_ci_high,preference_consistency,position_a_choice_share,judge_sentiment_agreement_real,judge_sentiment_agreement_synthetic,latency_seconds_mean,cost_usd,real_thai_naturalness_mean,synthetic_thai_naturalness_mean,gap_thai_naturalness_mean,gap_thai_naturalness_ci_low,gap_thai_naturalness_ci_high,real_campaign_relevance_mean,synthetic_campaign_relevance_mean,gap_campaign_relevance_mean,gap_campaign_relevance_ci_low,gap_campaign_relevance_ci_high,real_social_media_plausibility_mean,synthetic_social_media_plausibility_mean,gap_social_media_plausibility_mean,gap_social_media_plausibility_ci_low,gap_social_media_plausibility_ci_high,real_pragmatic_cultural_fit_mean,synthetic_pragmatic_cultural_fit_mean,gap_pragmatic_cultural_fit_mean,gap_pragmatic_cultural_fit_ci_low,gap_pragmatic_cultural_fit_ci_high,real_contextual_specificity_mean,synthetic_contextual_specificity_mean,gap_contextual_specificity_mean,gap_contextual_specificity_ci_low,gap_contextual_specificity_ci_high,real_unsupported_claim_risk_mean,synthetic_unsupported_claim_risk_mean,gap_unsupported_claim_risk_mean,gap_unsupported_claim_risk_ci_low,gap_unsupported_claim_risk_ci_high,real_negative_share,real_neutral_share,real_positive_share,real_sentiment_jsd,synthetic_negative_share,synthetic_neutral_share,synthetic_positive_share,synthetic_sentiment_jsd
KFC Bucket Ware,142,284,0.4894366197183099,0.5105633802816901,0.0,0.5105633802816901,0.44005281690140846,0.5845070422535211,0.8098591549295775,0.573943661971831,0.8943661971830986,0.9366197183098591,31.563033802098673,0.1073302,3.369718309859155,4.267605633802817,0.897887323943662,0.5492957746478874,1.25,2.6338028169014085,4.651408450704225,2.017605633802817,1.721742957746479,2.3098591549295775,3.535211267605634,4.059859154929577,0.5246478873239436,0.16549295774647887,0.8803697183098588,3.288732394366197,4.246478873239437,0.9577464788732394,0.602112676056338,1.327552816901408,2.038732394366197,3.461267605633803,1.4225352112676057,1.1232394366197183,1.7183978873239432,1.676056338028169,1.778169014084507,0.10211267605633803,-0.12323943661971831,0.2993838028169009,0.1795774647887324,0.4964788732394366,0.323943661971831,0.2880458699049345,0.056338028169014086,0.6161971830985915,0.3274647887323944,0.2741562867686371
MK Buffet,149,298,0.5503355704697986,0.44966442953020136,0.0,0.44966442953020136,0.37575503355704704,0.5268456375838926,0.8657718120805369,0.5268456375838926,0.959731543624161,0.9328859060402684,28.843366968526784,0.11041245,3.3523489932885906,4.194630872483222,0.8422818791946308,0.5,1.2147651006711409,2.4161073825503356,4.543624161073826,2.12751677852349,1.8455536912751676,2.4093959731543624,3.4261744966442955,3.8523489932885906,0.4261744966442953,0.013338926174496649,0.839177852348992,3.238255033557047,4.057046979865772,0.8187919463087249,0.43280201342281877,1.2215604026845635,2.0436241610738257,3.4563758389261743,1.412751677852349,1.1073825503355705,1.7046979865771812,1.6140939597315436,1.9395973154362416,0.32550335570469796,0.13758389261744966,0.5134228187919463,0.09060402684563758,0.587248322147651,0.3221476510067114,0.12316390916740061,0.013422818791946308,0.5771812080536913,0.40939597315436244,0.2201720036443734
Parameter Gelato,155,310,0.567741935483871,0.4290322580645161,0.0032258064516129032,0.4306451612903226,0.3629032258064516,0.49838709677419357,0.7870967741935484,0.5663430420711975,0.7935483870967742,0.9612903225806452,34.59674463425493,0.1251745,3.9290322580645163,4.090322580645161,0.16129032258064516,-0.14838709677419354,0.45483870967741935,2.2483870967741937,4.412903225806452,2.164516129032258,1.9354032258064517,2.393548387096774,3.8,3.8451612903225807,0.04516129032258064,-0.29032258064516137,0.3516935483870963,3.335483870967742,4.009677419354839,0.6741935483870968,0.36129032258064514,0.9710483870967737,1.706451612903226,3.0580645161290323,1.3516129032258064,1.1419354838709677,1.564516129032258,2.206451612903226,1.8548387096774193,-0.35161290322580646,-0.5870967741935483,-0.12258064516129032,0.27419354838709675,0.38064516129032255,0.34516129032258064,0.18062942728161768,0.016129032258064516,0.5806451612903226,0.4032258064516129,0.427869687082744
วิ่งแลกแว่น | Top Charoen,155,310,0.7516129032258064,0.24516129032258063,0.0032258064516129032,0.2467741935483871,0.18225806451612903,0.31290322580645163,0.9290322580645162,0.5275080906148867,0.9419354838709677,0.896774193548387,26.416596592851512,0.10785475,4.032258064516129,4.041935483870968,0.00967741935483871,-0.28717741935483876,0.29709677419354663,3.738709677419355,4.2612903225806456,0.5225806451612903,0.2161290322580645,0.8258870967741931,4.170967741935484,3.606451612903226,-0.5645161290322581,-0.8838709677419355,-0.22895161290322624,4.112903225806452,3.8548387096774195,-0.25806451612903225,-0.580725806451613,0.09362903225806407,3.138709677419355,2.725806451612903,-0.4129032258064516,-0.745241935483871,-0.08064516129032258,1.4741935483870967,2.067741935483871,0.5935483870967742,0.4064516129032258,0.7806451612903226,0.07419354838709677,0.7322580645161291,0.1935483870967742,0.06761094667295772,0.041935483870967745,0.6580645161290323,0.3,0.04862389857777293
ไทยช่วยไทยพลัส,140,280,0.5964285714285714,0.4035714285714286,0.0,0.4035714285714286,0.3320535714285714,0.475,0.7785714285714286,0.6035714285714285,0.8714285714285714,0.8928571428571429,29.72534119361096,0.1071951,4.146428571428571,4.378571428571429,0.23214285714285715,0.03571428571428571,0.425,3.0821428571428573,4.464285714285714,1.3821428571428571,1.1141964285714285,1.6285714285714286,4.246428571428571,4.071428571428571,-0.175,-0.41080357142857143,0.060714285714285714,3.8642857142857143,4.210714285714285,0.3464285714285714,0.08214285714285714,0.5964285714285714,2.1714285714285713,3.007142857142857,0.8357142857142857,0.5714285714285714,1.1035714285714286,2.192857142857143,1.6892857142857143,-0.5035714285714286,-0.7536607142857144,-0.25,0.34285714285714286,0.2714285714285714,0.38571428571428573,0.1744953447998192,0.014285714285714285,0.6678571428571428,0.31785714285714284,0.3763754362299481
