experiment,generator_model,pairs,judge_calls,real_win_share,synthetic_win_share,tie_share,simulated_realism_score,simulated_realism_score_ci_low,simulated_realism_score_ci_high,preference_consistency,position_a_choice_share,judge_sentiment_agreement_real,judge_sentiment_agreement_synthetic,latency_seconds_mean,cost_usd,real_thai_naturalness_mean,synthetic_thai_naturalness_mean,gap_thai_naturalness_mean,gap_thai_naturalness_ci_low,gap_thai_naturalness_ci_high,real_campaign_relevance_mean,synthetic_campaign_relevance_mean,gap_campaign_relevance_mean,gap_campaign_relevance_ci_low,gap_campaign_relevance_ci_high,real_social_media_plausibility_mean,synthetic_social_media_plausibility_mean,gap_social_media_plausibility_mean,gap_social_media_plausibility_ci_low,gap_social_media_plausibility_ci_high,real_pragmatic_cultural_fit_mean,synthetic_pragmatic_cultural_fit_mean,gap_pragmatic_cultural_fit_mean,gap_pragmatic_cultural_fit_ci_low,gap_pragmatic_cultural_fit_ci_high,real_contextual_specificity_mean,synthetic_contextual_specificity_mean,gap_contextual_specificity_mean,gap_contextual_specificity_ci_low,gap_contextual_specificity_ci_high,real_unsupported_claim_risk_mean,synthetic_unsupported_claim_risk_mean,gap_unsupported_claim_risk_mean,gap_unsupported_claim_risk_ci_low,gap_unsupported_claim_risk_ci_high,real_negative_share,real_neutral_share,real_positive_share,real_sentiment_jsd,synthetic_negative_share,synthetic_neutral_share,synthetic_positive_share,synthetic_sentiment_jsd
exp4_social_mechanism,deepseek/deepseek-v4-flash-0731,300,600,0.5533333333333333,0.44666666666666666,0.0,0.44666666666666666,0.39995833333333336,0.5,0.82,0.5733333333333334,0.8866666666666667,0.9166666666666666,32.57716913818331,0.23279509999999998,3.815,4.335,0.52,0.30833333333333335,0.7183333333333334,2.7683333333333335,4.715,1.9466666666666668,1.7649166666666665,2.1216666666666666,3.8383333333333334,4.03,0.19166666666666668,-0.025041666666666663,0.4283749999999998,3.5433333333333334,4.251666666666667,0.7083333333333334,0.47829166666666667,0.9383749999999997,2.165,3.49,1.325,1.1199583333333334,1.5300416666666665,1.92,1.9433333333333334,0.023333333333333334,-0.15166666666666667,0.19,0.21833333333333332,0.48833333333333334,0.29333333333333333,0.10629599031610072,0.015,0.565,0.42,0.23192642480977213
exp4_social_mechanism,qwen/qwen3-8b,260,520,0.6480769230769231,0.35,0.0019230769230769232,0.35096153846153844,0.29903846153846153,0.40384615384615385,0.85,0.5472061657032755,0.9,0.9346153846153846,26.93205109267885,0.1887582,3.7365384615384616,4.030769230769231,0.29423076923076924,0.04423076923076923,0.5636057692307684,2.9711538461538463,4.155769230769231,1.1846153846153846,0.9442307692307692,1.4288461538461539,3.8673076923076923,3.6942307692307694,-0.17307692307692307,-0.4423076923076923,0.09043269230769205,3.625,3.873076923076923,0.24807692307692308,-0.01730769230769231,0.525,2.3461538461538463,2.6884615384615387,0.3423076923076923,0.12307692307692308,0.5769230769230769,1.726923076923077,1.7942307692307693,0.0673076923076923,-0.09038461538461538,0.2230769230769231,0.16153846153846155,0.5115384615384615,0.3269230769230769,0.057097529644201006,0.03076923076923077,0.6788461538461539,0.2903846153846154,0.23418587720461687
exp5_application,deepseek/deepseek-v4-flash-0731,100,200,0.54,0.46,0.0,0.46,0.374875,0.545,0.84,0.55,0.91,0.9,32.8248202771151,0.076388525,3.635,4.355,0.72,0.349875,1.115,2.615,4.665,2.05,1.719875,2.37,3.695,4.105,0.41,0.009875000000000007,0.84,3.45,4.225,0.775,0.365,1.21,2.05,3.48,1.43,1.0848749999999998,1.7651249999999992,1.71,2.005,0.295,0.015,0.5501249999999993,0.185,0.515,0.3,0.09336708586956206,0.045,0.53,0.425,0.16133455997715715
exp5_application,qwen/qwen3-8b,81,162,0.6296296296296297,0.36419753086419754,0.006172839506172839,0.36728395061728397,0.27469135802469136,0.46296296296296297,0.8395061728395061,0.5527950310559007,0.8641975308641975,0.9506172839506173,28.892124472253474,0.060025175,3.8641975308641974,3.95679012345679,0.09259259259259259,-0.3395061728395062,0.5555555555555556,2.8271604938271606,4.265432098765432,1.4382716049382716,1.03070987654321,1.845679012345679,3.9012345679012346,3.6481481481481484,-0.25308641975308643,-0.7160493827160492,0.24691358024691357,3.6358024691358026,3.8395061728395063,0.2037037037037037,-0.2594135802469136,0.6790123456790124,2.2777777777777777,2.8395061728395063,0.5617283950617284,0.16666666666666666,0.9382716049382716,1.9753086419753085,1.6790123456790123,-0.2962962962962963,-0.6234567901234568,0.0063271604938263185,0.18518518518518517,0.46296296296296297,0.35185185185185186,0.03538064966472694,0.04938271604938271,0.7407407407407407,0.20987654320987653,0.26010034281160915
