campaign,feed,network,population,runs,action_rate_mean,action_rate_median,action_rate_ci_low,action_rate_ci_high,reach_rate_mean,reach_rate_median,reach_rate_ci_low,reach_rate_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,js_distance_to_calibration_target_mean,js_distance_to_calibration_target_median,js_distance_to_calibration_target_ci_low,js_distance_to_calibration_target_ci_high,sentiment_mean_mean,sentiment_mean_median,sentiment_mean_ci_low,sentiment_mean_ci_high,sentiment_shift_mean,sentiment_shift_median,sentiment_shift_ci_low,sentiment_shift_ci_high,normalized_entropy_mean,normalized_entropy_median,normalized_entropy_ci_low,normalized_entropy_ci_high,polarization_index_mean,polarization_index_median,polarization_index_ci_low,polarization_index_ci_high,cross_sentiment_edge_share_mean,cross_sentiment_edge_share_median,cross_sentiment_edge_share_ci_low,cross_sentiment_edge_share_ci_high,largest_cascade_share_mean,largest_cascade_share_median,largest_cascade_share_ci_low,largest_cascade_share_ci_high,cascade_depth_mean,cascade_depth_median,cascade_depth_ci_low,cascade_depth_ci_high,cascade_breadth_mean,cascade_breadth_median,cascade_breadth_ci_low,cascade_breadth_ci_high,time_to_50pct_mean,time_to_50pct_median,time_to_50pct_ci_low,time_to_50pct_ci_high
KFC Bucket Ware,chronological,matched_random,1000,10,0.9653,0.968,0.947575,0.974775,0.9968,0.997,0.9950000000000001,0.999,0.706637499230413,0.7037247950721057,0.680405396569386,0.742132308272069,0.26059946405423895,0.26549721831801354,0.22917696763357687,0.28168675654242664,0.03276303671534804,0.032409303802492656,0.019999218708459977,0.046267463655979606,0.06386155734176642,0.058536663004670336,0.03682759459815977,0.0959946075795635,0.673874462515065,0.6695963468561682,0.6366409297966479,0.7134415841777149,0.08087446251506503,0.07659634685616823,0.04364092979664788,0.12044158417771487,0.6427528413327459,0.6467971292189842,0.5981569165396682,0.6882633076876423,0.09227012110440257,0.09024527122636225,0.057918552759417014,0.12641902793524598,0.39942647849303964,0.4017690034724103,0.3526185816262464,0.4342956224078653,0.166181495582227,0.16381870626569095,0.12340323758755989,0.23638383141639532,9.8,10.0,9.0,10.0,7.3,7.0,6.2250000000000005,9.55,6.0,6.0,5.225,6.775
KFC Bucket Ware,chronological,matched_random,200,10,0.97,0.9675,0.9522499999999999,0.988875,0.9974999999999999,0.9975,0.9950000000000001,1.0,0.703899073824229,0.7201997422680413,0.5817357512953368,0.7815305112985526,0.2620448957930862,0.2620817362477986,0.19585416015828389,0.3297927461139896,0.03405603038268479,0.0286218122626153,0.011516794217687074,0.08958923134447948,0.08639052796686002,0.09214254933632549,0.03371944646205129,0.137655531574467,0.6698430434415442,0.694372852233677,0.49326424870466323,0.7589151827553889,0.07684304344154422,0.10137285223367704,-0.09973575129533675,0.165915182755389,0.6373642227819653,0.6215129485489144,0.5373105896116521,0.8086954368945543,0.09104860251617229,0.0846946505217348,0.033189851993093156,0.20654608258718754,0.3958302923374973,0.3879427635826953,0.3559866724928993,0.47536855426410224,0.48930148614791047,0.45776937718092414,0.36495252306022796,0.7126314825474908,8.5,8.0,8.0,9.775,6.0,6.0,4.225,8.0,5.9,6.0,5.0,6.775
KFC Bucket Ware,chronological,matched_random,500,10,0.9658,0.968,0.95025,0.9771,0.9968,0.998,0.99245,0.9995499999999999,0.7091237475946098,0.7056773079500352,0.6648750693692027,0.7833677685950413,0.26120451059760824,0.26736654009381283,0.19571280991735537,0.292668308631964,0.02967174180778199,0.02895556354054378,0.01901238401865842,0.0458347647613259,0.0698839656126815,0.07286114523620565,0.02052568444350017,0.1364761813258875,0.6794520057868277,0.6800861182029494,0.6190403046078768,0.762448347107438,0.08645200578682784,0.08708611820294937,0.026040304607876853,0.16944834710743806,0.632173000673879,0.6287628626294341,0.5368979046926637,0.7022210608087899,0.08332692378005291,0.0844382106324674,0.057260820367763726,0.12189503310366538,0.3930438941733773,0.39665551839464885,0.3293876257545272,0.4313288717859174,0.25589589691237047,0.24694233010454777,0.19663454134798009,0.32341610364732987,9.6,9.5,9.0,10.775,6.4,7.0,5.0,7.775,5.9,6.0,5.0,6.775
KFC Bucket Ware,chronological,post_affiliation_proxy,1000,10,0.4166,0.417,0.347675,0.4681,0.4817,0.478,0.40987500000000004,0.55625,0.7071636521211639,0.7123385323622371,0.6600783454699741,0.7455921712947474,0.2612191190559679,0.2701788371374828,0.21567423749012654,0.290552859996978,0.03161722882286823,0.0288510780314059,0.011559031507339779,0.0592644703474663,0.07375011637940795,0.07692988968492225,0.030292226841320654,0.10842623378230977,0.6755464232982956,0.6852775204244925,0.6051940875811577,0.7225660756105722,0.08254642329829567,0.09227752042449255,0.012194087581157627,0.12956607561057215,0.6365160791823943,0.6263919215185311,0.5791745705249405,0.7193194319606915,0.08859559766385444,0.08475728697942767,0.03334377390364818,0.16289162100359747,0.4503041263458544,0.4463892225558892,0.4228456913827655,0.4950417362270451,0.08230118673551594,0.08299794350310999,0.06961622807017545,0.09242852562214936,10.9,11.0,10.0,11.775,4.2,4.0,4.0,5.0,6.0,6.0,5.225,6.775
KFC Bucket Ware,chronological,post_affiliation_proxy,200,10,0.3585,0.36,0.315,0.429875,0.39649999999999996,0.3775,0.345625,0.49487500000000006,0.7276979957247047,0.7190693629049794,0.6208860759493671,0.834796626984127,0.2468943977941136,0.2502717982170037,0.1458705357142857,0.3353958057812205,0.025407606481181722,0.015399194503672116,0.011767344497607657,0.049954792043399636,0.10409356573382642,0.1006602853448191,0.025300783385296156,0.18937278122163134,0.7022903892435229,0.6963470319634704,0.5722705696202531,0.8161029942279943,0.10929038924352294,0.10334703196347039,-0.02072943037974683,0.22310299422799423,0.5949182899141079,0.5964755384249006,0.4578197962750274,0.7350385783151685,0.07169385839709594,0.04697344559196599,0.036528638659320475,0.1307868879183,0.44426321729856777,0.42708747149268006,0.3968196916787326,0.51185588998089,0.37497713899922175,0.37458540630182424,0.305078125,0.4507562785388127,9.2,9.5,8.0,10.0,3.4,3.0,3.0,4.0,4.8,5.0,4.0,5.775
KFC Bucket Ware,chronological,post_affiliation_proxy,500,10,0.40259999999999996,0.394,0.3396,0.48529999999999995,0.4542,0.442,0.38005,0.54175,0.7083237515244618,0.6947209211553473,0.6414158023442111,0.8083639705882353,0.26534652399564707,0.2771760343481655,0.17389604880413706,0.32442579846879593,0.026329724479891174,0.02019615039556317,0.013397939821089727,0.04756740142267499,0.0783503896326658,0.07386146875125495,0.009309694370581371,0.16268175360450088,0.6819940270445706,0.6666178766588603,0.5940978015866046,0.7906239899806076,0.08899402704457064,0.07361787665886033,0.0010978015866046492,0.19762398998060762,0.6212466252852973,0.6388518781125232,0.49801029927237916,0.7212055881427395,0.07269083436846245,0.06014008331093792,0.0418787224750952,0.12263455331859835,0.4520037732587915,0.452926393703587,0.3928702141900937,0.487964074880474,0.15446055537898135,0.14895118999596613,0.1344187675070028,0.19291010895883778,10.1,10.0,9.0,11.0,3.6,4.0,3.0,4.0,5.7,6.0,5.0,6.0
KFC Bucket Ware,interest,matched_random,1000,10,0.9679,0.97,0.957125,0.974,0.9964000000000001,0.997,0.994,0.998775,0.7236349672382019,0.7222792607802875,0.6843694289108979,0.7493308698691701,0.25375220007531407,0.24794661190965092,0.23152152202137222,0.28977154724818277,0.022612832686484025,0.02034306575699128,0.012675896723667333,0.035789327880188716,0.08886341478536992,0.09397703134978108,0.052998693868112776,0.11488419785551074,0.7010221345517179,0.7005816866781384,0.6545302612737187,0.7319793676822282,0.10802213455171791,0.10758168667813839,0.06153026127371879,0.13897936768222818,0.6057454240697272,0.5974656333047592,0.566480445627777,0.6567095708377116,0.06515600870682631,0.060541084550203975,0.036647189702984154,0.10196415711520579,0.36169983892220847,0.35776293823038396,0.3431947227788911,0.38711272015371867,0.14024839240336345,0.13290245788296742,0.10749486652977414,0.18014114895225658,8.0,8.0,7.225,8.775,10.3,10.5,8.225,12.0,5.9,6.0,5.225,6.0
KFC Bucket Ware,interest,matched_random,200,10,0.9650000000000001,0.9724999999999999,0.918375,0.99275,0.9974999999999999,0.9975,0.9950000000000001,1.0,0.747007099131086,0.7423143350604491,0.6840021147237643,0.8204105203436538,0.22975708067064077,0.23191178424339046,0.16427703031285462,0.2905471847739889,0.02323582019827325,0.020885028949545078,0.010448707115092108,0.050712767370798474,0.11116549526694086,0.10497689111300557,0.05266549077275394,0.1758589770247373,0.7237712789328128,0.7233500382230528,0.6379645783769495,0.8050980710001623,0.13077127893281276,0.1303500382230528,0.044964578376949546,0.2120980710001622,0.5785791310014745,0.5845242848531865,0.47533978255330117,0.6862102367353844,0.06835871726882478,0.06310111440184281,0.029276974372173185,0.13956737875528882,0.3450510316987828,0.3574262617435001,0.2580915943353129,0.4010618900873138,0.46554935273193526,0.46785016563322857,0.3388540840602697,0.5594479872459147,6.8,7.0,6.0,7.775,8.3,8.5,6.2250000000000005,10.0,5.8,6.0,5.0,7.0
KFC Bucket Ware,interest,matched_random,500,10,0.9696,0.971,0.95405,0.9755499999999999,0.9970000000000001,0.998,0.994,0.9995499999999999,0.7286618125037021,0.7333456761032753,0.6565267046296492,0.7839144193127447,0.2550579812855425,0.2528350275897618,0.20938712483688562,0.30668250809712316,0.016280206210755432,0.012326770322798716,0.006655570860116315,0.040501145475372285,0.10571401111462357,0.10875603640632243,0.02341659749004279,0.15862980633795906,0.7123816062929466,0.7184320601656244,0.6197359173564216,0.777215963462375,0.11938160629294665,0.12543206016562447,0.026735917356421685,0.18421596346237495,0.5823035666524448,0.5805150597307991,0.502109950920178,0.6943944136206183,0.046013066852436925,0.03508047004456737,0.020795627250731554,0.10656311425454706,0.35149765634067354,0.3559732799648986,0.3014354534166175,0.41108853759557246,0.2214283349432679,0.21788095419170025,0.18494388864723796,0.2687757731958763,7.4,7.5,6.0,8.775,9.9,10.0,7.0,12.55,5.8,6.0,5.0,6.0
KFC Bucket Ware,interest,post_affiliation_proxy,1000,10,0.4136,0.4065,0.375575,0.44775,0.47800000000000004,0.47450000000000003,0.42247500000000004,0.5286500000000001,0.7233971457368509,0.7330246913580247,0.6543156933758567,0.7887426713861723,0.2560982647527644,0.2535518584538192,0.2034625668449198,0.3132338720817793,0.02050458951038469,0.019136679968714494,0.0031751336898395723,0.03782590677309501,0.09633478918685101,0.09887804588310128,0.03199351194591786,0.16956118494479033,0.7028925562264662,0.71084455667789,0.6191192634101516,0.7837956773618537,0.10989255622646618,0.11784455667789001,0.02611926341015159,0.19079567736185385,0.596224163642757,0.5952850227564694,0.4886541441238484,0.6900057450031721,0.05784191560156143,0.05489967295916175,0.009808419600217335,0.10135168267434173,0.42783727908177455,0.42826586506346026,0.40650460079317796,0.4608764607679465,0.08289832008981879,0.08202020202020202,0.07594999556929365,0.09055380103767201,9.2,9.0,8.225,10.0,6.0,6.0,6.0,6.0,5.9,6.0,5.225,6.0
