scenario,runs,action_rate_mean,action_rate_median,action_rate_ci_low,action_rate_ci_high,reach_rate_mean,reach_rate_median,reach_rate_ci_low,reach_rate_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,js_distance_to_calibration_target_mean,js_distance_to_calibration_target_median,js_distance_to_calibration_target_ci_low,js_distance_to_calibration_target_ci_high,sentiment_mean_mean,sentiment_mean_median,sentiment_mean_ci_low,sentiment_mean_ci_high,sentiment_shift_mean,sentiment_shift_median,sentiment_shift_ci_low,sentiment_shift_ci_high,normalized_entropy_mean,normalized_entropy_median,normalized_entropy_ci_low,normalized_entropy_ci_high,polarization_index_mean,polarization_index_median,polarization_index_ci_low,polarization_index_ci_high,cross_sentiment_edge_share_mean,cross_sentiment_edge_share_median,cross_sentiment_edge_share_ci_low,cross_sentiment_edge_share_ci_high,largest_cascade_share_mean,largest_cascade_share_median,largest_cascade_share_ci_low,largest_cascade_share_ci_high,cascade_depth_mean,cascade_depth_median,cascade_depth_ci_low,cascade_depth_ci_high,cascade_breadth_mean,cascade_breadth_median,cascade_breadth_ci_low,cascade_breadth_ci_high,time_to_50pct_mean,time_to_50pct_median,time_to_50pct_ci_low,time_to_50pct_ci_high
baseline,50,0.4,0.39,0.3009,0.5082,0.4628,0.456,0.34645,0.5872999999999999,0.44258950461339736,0.46434167161921225,0.11979374110953059,0.7734866060751017,0.4212989691020438,0.42059639389736475,0.20158514709399666,0.6127705281562507,0.1361115262845588,0.09854362324758406,0.017752688598753917,0.37096194879089617,0.09705258886874459,0.0936963326657779,0.021555347351485097,0.18231359385938722,0.30647797832883855,0.3457739683260487,-0.2511682076813656,0.7485583592442,0.056077978328838575,0.06430997029875954,-0.11793396996017082,0.23943054311310188,0.8074685644640346,0.8414281350261742,0.5577533436574073,0.9525075304385446,0.16319165382718848,0.16742460090210926,0.048082550036653626,0.2836473469961352,0.5101410251348996,0.5386417464730717,0.4114784372904091,0.5884632264529058,0.16081015450880973,0.15923497267759562,0.12757190416416525,0.21759558253681216,8.76,9.0,7.0,10.774999999999999,5.96,6.0,6.0,6.0,5.68,6.0,5.0,7.0
positive_clarity_frame,50,0.41696,0.409,0.30335,0.5589499999999998,0.47336,0.46799999999999997,0.34025,0.63455,0.6673923842498176,0.6997420262664165,0.3254189944134078,0.8983430216765361,0.28067996438346365,0.2656104956989913,0.09827125906394199,0.5057337449220812,0.0519276513667187,0.028695550076317952,0.0,0.190272373540856,0.2659107141233124,0.2567308348918713,0.1738251842429849,0.4217787290486288,0.615464732883099,0.6616465863453815,0.12861326365110828,0.8964374966045526,0.365064732883099,0.3374149141521893,0.24270027432819094,0.5390625,0.6377165570435479,0.6342731025509478,0.30468487954076934,0.9389268296353175,0.10338157757137392,0.0807981421990587,0.0,0.24787885825042696,0.47217893139899614,0.476,0.334635422979645,0.5949180300400132,0.15546654909183252,0.1532025859727278,0.1215499031860588,0.19856709239987386,8.74,9.0,7.0,11.0,5.96,6.0,5.225,6.0,5.72,6.0,4.225,7.0
